Taxonomy,A3,A5,A6,A9,A31,A51,A52,A53,A54,A59,A67,A68,A69,A71,A73,A76,A78,A87,A89,A93,A101,A109,A113,A114,A115,A142,A144,A149,A164,A165,B1,B2,B3,B5,B6,B7,B8,B13,B14,B28,B29,B36,B37,B94,B99,B103,B106,B111,B114,B115,B120,B127,B132,B141,B142,B143,B152,B156,B158,B164
g__Unclassified;s__Firmicutes bacterium CAG:124,42,65,36,2213,81,154,71,460,84,1977,16,27,75,441,26,287,178,1611,23,463,115,11,296,2116,27,1779,1609,226,100,1998,1317,401,355,2187,107,81,420,151,8,44,16,44,61,72,42,484,407,1930,1828,97,2320,1655,1757,386,210,42,96,609,79,40
g__Unclassified;s__Burkholderiales bacterium YL45,1,25,26,41,24,23,4,10,19,51,18,8,13,43,15,16,26,2,24,2290,40,33,23,15,16,47,35,48,38,47,20,3,21,36,0,18,12,33,6,1,14,2,0,16,23,30,30,15,39,24,28,12,14,15,29,4,13,20,19,46
g__Ruminococcus;s__Ruminococcus callidus,16,21,7,1359,180,67,67,1864,272,405,66,54,65,187,61,135,2288,17,980,1394,1925,68,2154,684,9,223,2182,141,2270,40,788,17,357,70,21,1456,10,384,5,14,20,23,27,17,54,2232,1317,2101,174,102,424,471,443,405,100,29,117,16,2063,28
g__Flavonifractor;s__uncultured Flavonifractor sp.,2000,444,1987,626,1892,1662,235,316,1244,493,1815,428,2183,747,1199,1805,351,1785,1969,2276,1273,142,721,507,1792,541,581,1819,473,484,310,1954,2263,446,1665,1663,526,2238,1683,1716,459,297,1895,1868,1789,575,1919,1139,543,386,468,637,443,1768,1859,1655,1842,585,1772,167
g__Subdoligranulum;s__Subdoligranulum variabile,724,1712,244,1930,1734,365,353,1786,1656,1960,50,861,1293,1775,521,1685,1884,238,485,256,77,424,1218,1864,51,1935,1908,998,1192,1977,752,1767,1678,1924,1102,1193,90,1884,108,239,67,114,156,186,172,1844,1715,1847,1757,751,2150,2015,2231,1926,1800,131,1733,1176,734,1913
g__Clostridium;s__Clostridium sp. CAG:127,536,9,9,2182,57,76,59,75,59,18,32,57,70,2106,56,79,77,187,2089,6,2115,58,70,2171,63,2165,45,66,64,57,1880,14,73,1506,21,21,18,1035,5,44,37,63,67,133,46,16,904,2109,2056,76,34,2160,2059,2010,917,70,34,26,79,40
g__Clostridium;s__Clostridium sp. CAG:510,20,19,4,58,39,15,32,35,30,45,22,16,17,62,7,39,23,31,20,24,32,8,21,36,10,71,61,26,30,2142,30,19,23,43,25,18,38,31,12,37,8,18,23,19,13,45,27,72,50,26,37,55,59,32,30,16,31,23,20,20
g__Phascolarctobacterium;s__Phascolarctobacterium sp. CAG:207,1915,1871,1868,1067,1918,1907,1893,1936,647,1875,7,609,738,1972,1871,1920,1900,1872,1912,1863,1892,1870,1867,1755,1873,1851,125,1977,1923,2119,1922,3,1715,1898,180,204,1828,1969,1858,1855,105,211,232,2023,148,196,1837,1864,1815,577,1872,1535,1809,170,1842,273,199,133,207,417
g__Eubacterium;s__Eubacterium sp. CAG:38,64,1868,41,2062,1853,238,2033,1748,643,1912,28,162,217,1847,229,1817,2078,2028,218,1910,1945,347,199,839,30,735,101,1615,1983,113,107,1781,335,1791,54,1892,1778,1914,8,46,1904,105,1977,1778,1323,58,31,179,1559,2029,1531,1916,2031,54,85,74,1203,1541,2000,1147
g__Eubacterium;s__Eubacterium sp. CAG:192,1383,11,1,629,31,18,1599,74,257,2049,2,31,35,2051,45,32,26,19,17,1845,833,21,35,365,44,589,1639,1403,44,19,13,1117,1273,25,1429,7,329,473,1350,17,7,8,23,44,25,17,1048,1273,209,145,21,1362,1475,5,2,1834,10,15,25,194
g__Clostridium;s__Clostridium sp. CAG:242,5,10,14,17,21,13,13,12,1549,15,29,8,1424,25,14,18,19,1705,14,9,16,10,29,27,7,2006,1251,23,565,24,17,12,19,35,5,16,14,1366,8,6,4,3,19,22,7,20,21,19,30,24,1635,13,16,25,56,10,19,1377,10,12
g__Roseburia;s__Roseburia sp. CAG:380,33,6,0,143,34,33,59,77,1933,38,8,24,22,95,19,40,31,5,24,4,32,31,31,37,2,61,50,62,59,13,12,6,31,99,9,1143,5,19,0,0,2,33,18,10,1,6,7,73,35,34,6,57,59,6,9,5,9,36,8,4
g__Ruminococcus;s__Ruminococcus sp. CAG:254,5,13,1,7,1925,60,56,54,50,9,1296,54,81,1876,172,54,91,0,48,512,21,49,98,1404,4,14,22,1326,66,14,7,4,30,5,10,9,3,8,0,9,8,24,10,11,21,11,196,1419,1413,1458,16,17,22,16,4,9,1696,9,14,179
g__Prevotella;s__Prevotella copri,34,92,28,25,1030,561,541,1295,1003,37,35,988,594,548,495,515,614,26,516,293,1009,542,613,1002,259,78,171,532,675,1920,777,2,413,65,11,31,11,3,6,148,14,36,51,162,41,1458,1057,84,268,23,955,797,847,219,174,76,207,106,34,849
g__Unclassified;s__Firmicutes bacterium CAG:110,20,48,29,472,44,17,17,72,48,114,40,17,150,127,16,109,47,139,15,74,69,10,83,1687,21,1911,550,49,424,427,546,679,69,1657,41,43,79,57,11,17,8,25,13,15,35,726,108,332,182,37,278,741,320,56,79,8,44,48,32,19
g__Ruminococcus;s__uncultured Ruminococcus sp.,841,903,325,835,634,492,556,941,1200,1233,315,423,701,1890,286,993,730,1061,437,902,920,266,1269,1255,251,1698,1557,927,1222,663,833,1203,1587,1276,1251,938,378,947,87,337,287,649,393,380,736,1189,662,1599,951,1316,995,1696,1749,1257,722,699,1181,1010,871,413
g__Clostridium;s__Clostridium sp. CAG:75,1,4,0,226,74,33,1695,127,49,1821,17,32,37,41,46,751,28,98,38,6,1613,32,41,1410,12,1870,1829,1466,1837,42,763,5,1186,235,6,1060,6,382,1,44,8,1761,19,23,13,6,3,1829,949,1494,135,1810,1737,11,33,15,3,1002,14,7
g__Lachnoclostridium;s__[Clostridium] bolteae,1024,997,1829,180,1237,877,682,584,1126,1144,1439,483,1609,516,883,357,384,1129,1393,1697,909,1481,1368,559,995,345,516,910,1440,332,148,1369,970,717,289,359,1203,972,1555,1591,1604,1331,1489,1681,942,245,1510,289,663,1113,998,1037,472,1191,1618,1508,356,529,1147,62
g__Prevotella;s__Prevotella sp. CAG:1092,0,49,5,1,43,30,33,88,51,2,6,42,29,36,27,26,45,9,31,10,36,34,42,36,10,28,67,34,49,1727,20,0,23,5,0,1,3,1,0,82,1,0,3,7,4,63,34,23,20,3,28,24,28,5,5,3,13,3,1,28
g__Holdemanella;s__Holdemanella biformis,11,1371,10,8,7,10,17,10,13,13,8,6,7,14,5,6,9,7,9,5,19,2,13,1719,17,36,16,12,9,12,264,11,6,17,10,9,6,8,3,10,5,8,9,9,5,14,16,13,13,7,19,12,17,13,7,4,12,9,10,8
g__Prevotella;s__Prevotella sp. CAG:279,3,1666,104,12,132,125,133,1699,124,5,6,105,128,1200,118,1181,133,7,139,8,6,127,121,12,2,15,13,134,1515,1120,6,2,9,3,2,7,2,5,1,26,5,2,3,6,2,8,9,8,31,1,10,10,8,1,3,2,10,3,4,11
g__Dialister;s__Dialister succinatiphilus,1,2,1,2,179,202,180,307,1658,13,1,170,170,165,148,152,155,6,167,5,2,164,182,4,0,44,4,166,156,4,7,1,3,1,1,7,1,14,0,2,2,1,4,13,1,1600,12,21,5,3,1,3,1,4,3,6,14,1,3,14
g__Eubacterium;s__Eubacterium sp. CAG:252,83,104,9,31,96,128,1656,393,108,65,6,35,39,114,38,130,58,103,116,77,105,51,107,48,12,27,1612,128,129,61,78,19,21,319,110,104,37,21,59,37,15,1548,109,85,26,14,6,121,47,95,24,135,130,23,96,67,35,1547,73,17
g__Alistipes;s__Alistipes sp. CAG:268,23,16,35,21,18,11,6,17,24,20,56,5,18,62,9,18,12,249,13,67,36,16,28,27,5,1600,16,17,55,27,35,9,23,9,1,32,11,4,1,13,2,4,18,17,14,44,9,9,29,20,43,17,18,13,112,14,19,36,17,3
g__Ruminococcus;s__Ruminococcus lactaris,53,1545,45,102,1469,170,1488,973,192,78,1499,1576,139,1354,147,149,959,56,143,65,63,137,179,77,36,90,78,168,1516,71,1506,72,1369,462,64,58,1468,1297,26,1290,52,65,69,56,244,1451,69,1491,157,689,1494,1583,1526,1313,245,60,1326,890,179,721
g__Eubacterium;s__Eubacterium sp. CAG:202,6,12,8,659,430,511,475,497,1424,22,1293,436,452,452,466,1531,1460,15,496,15,294,447,432,1220,1566,27,39,432,426,1280,3,7,8,17,20,7,8,9,1,9,27,1405,1522,291,88,9,22,1226,523,53,49,1449,1386,66,30,233,1524,44,289,15
g__Faecalibacterium;s__Faecalibacterium sp. CAG:74,79,13,4,1046,622,16,24,563,883,803,6,27,26,918,14,212,28,79,25,24,44,22,39,1078,14,1529,53,31,63,581,151,788,20,341,682,29,703,546,29,5,11,42,325,70,21,419,550,739,1078,790,1301,350,525,1416,847,36,61,67,733,19
g__Clostridium;s__Clostridium sp. CAG:277,22,18,6,1516,23,20,81,28,190,77,6,8,17,1330,15,37,15,18,19,6,65,8,16,68,9,81,84,58,84,16,34,7,60,1376,10,140,15,39,5,6,10,64,12,11,8,14,4,108,58,65,15,88,95,13,13,6,14,49,7,10
g__Prevotella;s__Prevotella sp. CAG:1058,2,8,3,5,8,17,9,13,11,5,47,5,6,35,3,24,11,222,7,11,6,9,10,14,5,1513,3,4,23,15,2,1,0,1,0,0,1,4,0,1,3,0,2,3,2,9,6,3,12,2,2,2,1,1,76,1,1,0,3,3
g__Roseburia;s__Roseburia inulinivorans,792,1037,690,1291,971,256,1010,1425,471,677,938,238,253,747,181,529,1176,1106,298,901,975,1061,1075,1192,817,1124,1475,1228,1189,969,979,622,887,1048,909,382,624,1189,97,992,89,954,467,176,103,1171,277,1174,544,775,675,1072,1168,193,214,144,752,1040,1011,286
g__Phascolarctobacterium;s__Phascolarctobacterium sp. CAG:266,15,12,11,8,23,23,26,22,15,20,2,19,15,1345,15,22,16,19,19,13,15,19,21,13,19,16,47,25,21,1464,15,3,16,10,3,2,11,19,9,47,3,3,2,19,4,3,13,14,14,8,16,11,14,2,11,1,3,3,3,4
g__Akkermansia;s__Akkermansia sp. CAG:344,1416,10,1,100,1451,49,47,38,1401,4,13,40,76,899,35,36,80,50,46,0,15,41,83,8,7,26,0,61,30,0,20,28,23,435,22,18,20,1317,37,0,0,7,1079,8,2,1130,17,19,7,416,2,20,4,0,1364,10,5,1,18,0
g__Prevotella;s__Prevotella sp. CAG:1031,4,12,16,4,15,19,9,16,10,20,0,6,12,26,13,32,9,1,11,9,9,16,10,19,6,14,1,8,32,22,12,1,3,6,0,1,14,13,10,4,1,1,2,16,0,5,4,7,1446,3,16,24,22,0,5,2,1,2,1,4
g__Eubacterium;s__Eubacterium sp. CAG:156,45,26,7,638,50,17,64,19,40,71,8,36,79,681,97,910,38,42,48,83,967,103,68,401,47,1175,94,69,784,993,24,834,1339,1046,1033,12,20,805,45,49,49,27,50,58,1323,1243,53,135,279,1441,1380,1407,1341,545,41,79,34,44,70,24
g__Clostridium;s__Clostridium sp. CAG:299,1433,406,35,59,60,1216,80,60,732,934,21,55,86,291,55,946,84,1050,855,1063,1270,1334,831,42,1296,805,1269,806,1096,1353,23,32,982,30,30,649,31,1239,16,19,18,42,88,1244,21,51,718,1042,27,1074,30,148,359,33,122,1382,28,447,96,46
g__Sutterella;s__Sutterella parvirubra,0,1,0,1,27,31,30,42,20,70,3,775,26,133,23,1429,24,1,94,1,2,83,75,15,5,1,3,22,92,1089,2,0,1,73,0,0,0,0,1,2,2,1,7,2,0,0,0,12,1,2,1,1,0,0,1,0,2,0,4,0
g__Mycoplasma;s__Mycoplasma sp. CAG:472,0,0,0,1,1,0,0,1,0,26,2,1,2,4,0,0,0,22,0,1,8,2,7,1411,7,1424,3,0,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,2,9,0,0,0,0,0,7,1,0,0,0,0
g__Megasphaera;s__Megasphaera sp. DJF_B143,5,3,3,4,6,4,7,4,12,7,3,3,2,10,1,4,5,24,3,6,33,0,4,17,10,8,7,7,7,5,4,4,6,4,11,9,8,1399,4,4,5,5,5,5,2,6,1,9,6,8,7,8,5,7,7,4,8,5,5,9
g__Eubacterium;s__Eubacterium sp. CAG:786,79,6,1,1394,5,1,2,12,5,5,4,2,6,19,2,6,8,6,3,5,3,5,10,14,2,15,15,5,10,9,3,5,6,12,1,5,4,6,0,1,0,1,1,4,2,5,3,36,9,3,7,6,9,36,7,1,9,5,3,2
g__Unclassified;s__Firmicutes bacterium CAG:137,10,68,60,94,106,27,26,86,105,97,6,32,1343,139,42,63,78,87,24,110,89,24,143,213,14,169,131,75,101,145,71,95,93,180,67,73,78,76,3,8,6,8,23,12,76,91,118,78,124,95,113,100,108,50,61,11,81,40,60,25
g__Escherichia;s__Escherichia coli,1203,1147,800,899,474,110,733,1287,65,417,41,569,584,395,189,314,79,938,116,703,43,295,560,622,624,354,761,179,1030,75,789,757,1034,827,725,773,777,543,568,969,701,433,605,1337,360,1070,1019,1046,1090,1236,138,923,856,139,433,892,539,57,161,221
g__Unclassified;s__Firmicutes bacterium CAG:103,23,31,16,1059,602,82,773,787,679,574,6,46,99,121,94,528,688,185,68,735,1117,76,110,782,14,1306,506,123,486,604,811,43,38,1031,62,700,418,713,10,4,67,489,430,541,99,837,57,805,853,783,589,742,798,580,349,25,700,355,668,365
g__Unclassified;s__[Eubacterium] rectale,846,965,124,1110,393,306,1027,1011,899,947,218,216,893,1137,218,266,982,913,266,639,1014,277,1038,1003,887,1092,1104,322,1244,800,901,867,276,533,829,874,305,1296,60,283,823,288,923,404,213,571,993,1133,1043,723,957,987,1037,320,824,834,797,948,192,250
g__Clostridium;s__Clostridium sp. CAG:62,29,13,7,1209,53,50,51,64,51,1092,19,46,52,1080,57,54,41,65,57,9,36,44,49,39,7,1199,1192,63,1234,87,16,10,1185,1052,36,48,14,1156,63,56,73,50,1103,54,50,13,79,1202,1079,1286,65,1246,1195,1186,910,30,365,1081,30,9
g__Roseburia;s__Roseburia intestinalis,132,135,94,1014,234,173,1249,562,204,186,129,220,168,1043,98,187,246,189,152,876,1068,136,213,704,986,1081,1148,962,456,349,594,753,983,210,1000,149,921,180,57,207,84,522,891,117,105,1168,643,1217,374,674,188,1283,1186,133,156,114,195,1092,148,472
g__Coprobacillus;s__Coprobacillus sp. CAG:605,0,1,1,8,1,2,2,0,7,9,1,1,1,8,2,1,2,2,0,2,16,0,4,1265,8,10,4,0,3,8,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,1,8,14,0,0,3,4,3,1,0,0,1,0,0
g__Bacteroides;s__Bacteroides fragilis,999,1028,992,535,874,586,600,850,1045,727,957,489,1089,1219,889,642,610,403,1030,539,1262,1033,1227,1080,786,861,908,1095,851,711,582,497,809,314,763,657,897,771,668,881,667,738,944,1206,718,325,998,1203,930,897,459,363,569,627,845,993,770,895,596,519
g__Eubacterium;s__Eubacterium ventriosum,146,640,12,222,1098,155,288,171,1021,193,14,1122,1127,1217,798,140,1083,952,1034,1251,159,243,1140,210,1053,401,1174,248,1014,1041,393,155,1164,629,166,435,53,86,143,1118,230,41,1070,1092,1109,680,128,1161,83,1138,1058,827,1162,414,29,214,738,1062,1056,936
g__Clostridium;s__Clostridium sp. CAG:43,1138,1044,48,1247,1154,1126,1137,1161,1046,1049,25,1046,176,1118,1068,1047,1072,1136,1008,39,1122,207,1110,1085,1006,1192,981,1061,1100,1087,686,1099,59,1003,966,1031,1208,1075,1009,1054,1040,1056,1137,1105,49,1055,998,1124,1149,1202,1155,1135,1163,1077,1171,85,1045,1019,1151,839
g__Bilophila;s__Bilophila wadsworthia,1159,1030,935,1086,1112,942,80,822,1033,879,1,462,1180,808,965,1014,966,1120,885,849,1076,85,1031,1201,1070,1024,1046,1219,134,698,1245,1059,1082,944,1160,942,713,1111,22,82,928,47,852,1023,292,1080,792,889,903,1003,803,540,904,965,678,22,1023,1115,770,378
g__Unclassified;s__Firmicutes bacterium CAG:313,1,1,0,1,0,0,0,1,3,1,28,0,1,1,0,0,1,240,0,4,1,1,1,2,1,1232,4,1,1,2,0,6,1,7,3,0,0,1,0,1,0,0,0,1,4,2,1,5,11,0,2,11,3,0,57,0,1,2,5,2
g__Ruminococcus;s__Ruminococcus sp. CAG:488,2,5,3,10,6,3,7,8,14,12,3,2,15,7,3,9,8,2,4,5,16,1,8,1223,10,20,11,7,6,1083,5,2,10,19,5,4,5,5,1,5,3,2,2,7,2,5,9,15,13,11,13,10,13,8,5,1,4,4,4,3
g__Clostridium;s__Clostridium sp. CAG:245,0,0,0,728,750,6,0,3,595,2,11,0,20,15,6,4,7,59,1,0,625,0,4,892,2,1204,3,3,5,7,867,0,1,873,3,1,0,1,9,1,8,17,2,9,22,2,20,982,881,23,16,980,1035,13,22,2,17,934,4,42
g__Clostridium;s__Clostridium sp. CAG:451,1,0,1,3,11,7,11,6,15,5,1,10,18,1187,12,14,24,0,7,1,2,20,8,30,2,7,2,16,14,0,0,1,1,3,0,1,1,1,1,1,1,0,1,0,0,2,0,6,6,1,7,2,1,1080,241,2,3,6,1,0
g__Clostridium;s__Clostridium sp. CAG:269,0,1,0,27,9,0,2,2,7,3,12,0,10,13,0,12,2,92,5,1,1134,1,10,1058,10,1172,3,0,2,617,9,0,8,1075,1,2,3,8,0,0,9,14,10,6,15,5,2,1147,1138,11,74,1125,1179,84,13,4,113,1152,13,60
g__Clostridium;s__Clostridium sp. CAG:58,617,480,994,86,1045,589,118,92,1000,289,537,48,753,929,64,635,778,1037,714,15,1038,482,942,72,45,958,726,926,978,613,433,946,871,953,56,36,968,1166,35,36,24,43,569,1081,893,72,993,871,636,1126,518,881,517,793,950,925,570,857,256,38
g__Eubacterium;s__Eubacterium sp. CAG:86,37,37,6,1142,101,83,1103,246,733,26,10,77,73,1054,88,106,88,652,94,25,24,466,89,27,13,1123,1026,1067,1157,25,21,1104,918,1082,25,32,25,1065,12,8,35,1129,50,1141,49,13,7,1163,1139,49,30,1102,449,24,26,32,29,1106,47,17
g__Eubacterium;s__[Eubacterium] eligens,114,868,851,973,1071,441,1036,795,903,887,909,854,1024,979,375,932,983,1104,948,80,953,606,1077,967,914,928,1012,1030,1037,651,708,882,871,105,884,893,880,813,775,96,828,1038,795,955,844,901,367,1101,926,176,876,1162,1065,880,783,807,826,831,213,568
g__Ruminiclostridium;s__[Eubacterium] siraeum,188,707,32,1123,51,33,44,66,933,79,42,31,488,86,21,68,48,51,830,165,99,29,56,861,37,948,45,58,62,811,64,584,84,927,59,92,918,932,11,26,15,51,51,84,114,91,152,108,933,86,188,123,123,145,40,41,181,888,63,33
g__Faecalibacterium;s__Faecalibacterium sp. CAG:82,155,1082,115,1089,199,143,160,188,175,200,168,1000,120,1044,112,742,197,227,143,92,156,141,190,1057,98,1112,959,881,180,265,1019,196,206,971,200,162,158,218,107,128,133,121,127,999,100,1046,397,1072,1054,853,164,1043,1103,200,188,100,904,180,128,824
g__Clostridium;s__Clostridium sp. CAG:417,0,1,0,737,74,79,72,105,68,941,0,58,77,1034,63,67,52,2,68,1,7,82,66,41,4,42,1085,66,1104,94,6,1,1,954,2,0,2,1,0,3,13,2,1,0,16,5,1,1092,23,24,1,9,5,18,7,1,0,1,1,1
g__Roseburia;s__Roseburia sp. CAG:197,9,10,3,22,43,25,40,49,18,42,30,22,11,37,9,25,38,17,28,31,38,11,16,29,11,36,58,40,44,1090,30,22,27,33,20,26,27,29,7,21,3,20,17,23,14,26,14,35,35,30,16,49,77,27,11,10,17,39,16,9
g__Bifidobacterium;s__Bifidobacterium adolescentis,13,54,3,26,463,11,11,25,3,537,0,13,17,9,11,11,9,25,1,77,13,82,19,460,21,5,10,16,8,10,26,4,10,25,8,32,11,12,16,72,23,1,14,25,36,7,51,15,1047,566,105,173,304,9,3,5,506,4,37,544
g__Bacteroides;s__Bacteroides vulgatus,581,800,740,704,885,789,771,843,889,671,630,698,497,981,717,1038,825,812,629,342,727,495,967,817,755,634,829,791,828,607,570,532,675,635,520,477,565,531,482,728,541,289,629,695,556,605,594,623,478,602,882,520,633,590,558,570,646,608,550,275
g__Odoribacter;s__Odoribacter splanchnicus,1004,716,898,877,960,584,113,954,696,873,602,514,967,1002,141,667,806,37,136,603,65,110,540,949,675,652,642,99,684,837,521,15,639,628,831,42,612,48,9,600,22,33,700,948,31,917,665,676,660,693,1025,772,910,16,595,42,43,16,43,569
g__Bacteroides;s__Bacteroides uniformis,705,505,594,738,844,930,768,607,985,684,566,463,778,981,738,880,809,633,1023,685,777,769,938,771,688,700,656,743,735,778,502,105,686,730,594,511,577,550,400,486,435,469,609,884,210,545,692,505,972,628,695,369,439,444,539,151,699,180,436,93
g__Eubacterium;s__Eubacterium sp. CAG:248,858,947,15,96,614,1003,446,387,934,711,14,145,131,941,203,988,278,965,950,831,946,169,843,496,52,98,113,954,961,284,854,20,32,29,959,919,27,109,17,14,22,105,26,48,46,14,7,966,255,920,17,1008,1007,11,969,17,36,98,18,31
g__Phascolarctobacterium;s__Phascolarctobacterium succinatutens,31,27,26,25,39,35,36,46,20,36,3,11,17,75,26,37,30,42,29,31,32,35,39,25,28,44,33,45,33,1004,29,2,23,25,7,8,31,39,21,42,7,4,7,50,7,10,25,33,31,9,28,32,37,11,30,7,2,6,10,10
g__Bacteroides;s__Bacteroides thetaiotaomicron,884,604,756,666,847,685,750,583,780,919,872,465,713,808,1000,931,744,944,915,738,811,827,866,563,794,548,985,430,832,844,566,605,823,556,759,560,665,827,655,686,96,603,880,576,120,792,977,835,775,612,724,292,481,663,563,115,726,980,586,323
g__Clostridium;s__Clostridium sp. KLE 1755,70,52,885,40,21,11,22,18,997,73,11,16,22,32,135,80,21,22,8,139,35,14,193,27,339,77,155,94,64,23,11,550,52,114,84,97,660,271,8,13,845,625,612,565,14,28,33,30,34,97,49,865,281,27,950,722,44,9,264,12
g__Unclassified;s__Firmicutes bacterium CAG:345,1,1,1,4,2,3,3,3,4,1,0,3,2,3,3,3,1,0,1,3,3,4,1,8,1,16,5,3,4,4,3,10,2,9,4,0,4,3,0,5,5,2,2,1,6,4,5,990,12,9,6,7,4,3,2,3,2,3,0,3
